Time,accX,accY,accZ,wx,wy,wz
3.5800079999999994,174.0,201.0,2744.0,-31.0,2584.0,-8.0
3.590008,-515.0,226.0,8171.0,-61.0,2895.0,-26.0
3.599996,-1132.0,182.0,13631.0,-55.0,2284.0,-25.0
3.6099999999999994,-1549.0,302.0,18286.0,-32.0,959.0,-18.0
3.6200079999999994,-1548.0,261.0,18090.0,-12.0,-712.0,-27.0
3.630008,-1305.0,176.0,14694.0,15.0,-2109.0,-33.0
3.640008,-360.0,-242.0,9192.0,-5.0,-2568.0,0.0
3.6499999999999995,530.0,162.0,3227.0,24.0,-2108.0,-28.0
3.660004,1194.0,146.0,-896.0,4.0,-907.0,-41.0
3.6700039999999996,1382.0,38.0,-1430.0,4.0,687.0,-31.0
3.680008,893.0,231.0,1131.0,7.0,2037.0,-13.0
3.689996,161.0,137.0,5985.0,-34.0,2858.0,-29.0
3.7,-638.0,202.0,11546.0,-59.0,2460.0,-22.0
3.710012,-1308.0,247.0,16671.0,-31.0,1294.0,-17.0
3.7200039999999994,-1663.0,208.0,17565.0,-7.0,-311.0,-26.0
3.7299999999999995,-1578.0,211.0,15328.0,14.0,-1801.0,-32.0
3.74,-912.0,364.0,10452.0,98.0,-2521.0,-18.0
3.7500079999999993,96.0,417.0,5294.0,46.0,-2380.0,-23.0
3.7600039999999995,613.0,28.0,1201.0,52.0,-1454.0,-37.0
3.7699999999999996,736.0,191.0,-1244.0,14.0,-42.0,-25.0
3.7799999999999994,442.0,137.0,565.0,4.0,1401.0,-15.0
3.7900039999999997,51.0,140.0,4864.0,-29.0,2498.0,-15.0
3.800008,-891.0,263.0,10276.0,-51.0,2348.0,-21.0
3.810008,-1629.0,198.0,15048.0,-27.0,1469.0,-15.0
3.820004,-2032.0,269.0,17414.0,-10.0,84.0,-16.0
3.83,-1949.0,270.0,16345.0,12.0,-1364.0,-27.0
3.840008,-1204.0,199.0,12634.0,36.0,-2357.0,-32.0
3.850008,-581.0,19.0,7662.0,-6.0,-2524.0,-12.0
3.8599999999999994,-51.0,83.0,3048.0,31.0,-1744.0,-29.0
3.87,438.0,289.0,-143.0,5.0,-466.0,-33.0
3.880012,602.0,95.0,673.0,6.0,1071.0,-27.0
3.890008,-181.0,221.0,4017.0,-13.0,2221.0,-14.0
3.8999999999999995,-840.0,259.0,8809.0,-50.0,2358.0,-25.0
3.91,-1393.0,176.0,13486.0,-36.0,1807.0,-24.0
3.920008,-1657.0,276.0,17156.0,-25.0,663.0,-19.0
3.930008,-1565.0,253.0,16878.0,-9.0,-730.0,-29.0
3.9399999999999995,-1429.0,198.0,13851.0,16.0,-1843.0,-29.0
